machine_id,defect_time,defect_type,severity
1,2024-01-10,Misalign,High
1,2024-01-25,Misalign,Medium
1,2024-09-21,Crack,Low
1,2024-10-01,Misalign,Low
1,2024-10-26,Misalign,Low
1,2024-10-31,Crack,Low
1,2024-11-10,Misalign,Low
1,2024-12-20,Misalign,High
2,2024-04-22,Crack,Medium
2,2024-05-17,Crack,Medium
2,2024-05-22,Crack,High
2,2024-07-06,Misalign,Medium
3,2024-02-07,Misalign,Medium
3,2024-05-27,Misalign,High
3,2024-06-16,Misalign,Medium
3,2024-08-20,Overheat,High
3,2024-08-25,Crack,Low
3,2024-08-30,Misalign,Medium
3,2024-09-04,Crack,High
4,2024-01-21,Crack,High
4,2024-03-21,Overheat,High
4,2024-05-10,Misalign,Low
4,2024-06-29,Overheat,High
4,2024-07-29,Misalign,High
4,2024-08-03,Overheat,Low
4,2024-10-17,Overheat,Medium
4,2024-12-06,Crack,Low
4,2024-12-31,Misalign,High
5,2024-01-20,Overheat,Low
5,2024-03-20,Misalign,Low
5,2024-04-09,Crack,Low
5,2024-04-29,Overheat,Medium
5,2024-05-19,Misalign,Medium
5,2024-06-08,Crack,High
6,2024-04-04,Crack,Medium
6,2024-06-18,Misalign,Medium
6,2024-07-08,Crack,High
6,2024-08-17,Crack,Medium
6,2024-10-26,Crack,High
6,2024-10-31,Overheat,Low
7,2024-02-29,Overheat,Medium
7,2024-04-04,Misalign,Medium
7,2024-04-14,Misalign,Low
7,2024-05-19,Crack,High
7,2024-05-24,Overheat,High
8,2024-03-15,Overheat,Low
9,2024-03-30,Misalign,Medium
9,2024-06-23,Overheat,Low
9,2024-08-07,Crack,Medium
9,2024-08-12,Crack,High
9,2024-09-26,Overheat,Medium
9,2024-10-11,Misalign,High
9,2024-10-31,Crack,Low
9,2024-11-30,Crack,High
10,2024-03-14,Misalign,Medium
10,2024-03-24,Misalign,High
10,2024-04-13,Misalign,High
10,2024-05-23,Overheat,High
10,2024-05-28,Crack,Medium
10,2024-06-07,Misalign,High
10,2024-06-27,Crack,Low
10,2024-07-17,Overheat,Low
11,2024-02-26,Misalign,Low
11,2024-06-05,Crack,Low
11,2024-07-25,Misalign,Medium
11,2024-09-18,Misalign,Medium
11,2024-10-23,Crack,Medium
11,2024-11-27,Misalign,Medium
11,2025-01-01,Crack,Medium
12,2024-06-01,Crack,Low
12,2024-07-06,Overheat,Low
12,2024-07-31,Crack,Medium
12,2024-08-20,Crack,High
12,2024-08-30,Overheat,Medium
12,2024-09-19,Overheat,Low
12,2024-10-04,Crack,High
12,2024-11-13,Misalign,Low
12,2024-12-08,Misalign,High
12,2024-12-18,Crack,Low
13,2024-03-15,Misalign,High
13,2024-04-09,Misalign,Low
14,2024-02-19,Crack,Low
14,2024-03-15,Crack,Medium
14,2024-04-24,Overheat,Medium
15,2024-01-18,Overheat,High
15,2024-01-28,Crack,High
15,2024-03-28,Overheat,High
15,2024-05-22,Misalign,High
15,2024-06-06,Crack,Medium
15,2024-08-30,Misalign,High
15,2024-11-23,Overheat,High
